DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
3803,Mauve medium,#7B2544,123,37,68,0,69.9,44.7,51.8
3804,Cyclamen Pink dark,#BA1861,186,24,97,0,87.1,47.8,27.1
3805,Cyclamen Pink,#CC2B73,204,43,115,0,78.9,43.6,20
3806,Cyclamen Pink light,#E45592,228,85,146,0,62.7,36,10.6
3807,Cornflower Blue,#47548F,71,84,143,50.3,41.3,0,43.9
3808,Turquoise ultra very dark,#004757,0,71,87,100,18.4,0,65.9
3809,Turquoise very dark,#135C6D,19,92,109,82.6,15.6,0,57.3
3810,Turquoise dark,#347B8C,52,123,140,62.9,12.1,0,45.1
3811,Turquoise very light,#95C5C6,149,197,198,24.7,0.5,0,22.4
3812,Sea Green very dark,#00887C,0,136,124,100,0,8.8,46.7
3813,Blue Green light,#8CAC9D,140,172,157,18.6,0,8.7,32.5
3814,Aquamarine,#0D7163,13,113,99,88.5,0,12.4,55.7
